FinalID,OldNew,CorrLongLoc,Stream,Reach,Stage,Date,POL,Year,SurNum,Primary,Species,Meso
GCDY1,N,237,Cascade,Upper,A,6/20/2012,X,2012,1,1,GP,PL
GCDY2,N,476,Cascade,Upper,A,6/20/2012,X,2012,1,1,GP,PL
GZY3,N,1045,Zigzag,Upper,A,6/22/2012,X,2012,1,1,GP,RF
GZY4,N,1264,Zigzag,Upper,L,6/22/2012,X,2012,1,1,GP,PL
GZY5,N,1365,Zigzag,Upper,L,6/22/2012,X,2012,1,1,GP,PL
GBY1,N,905,Bear,Upper,L,6/29/2012,X,2012,1,1,GP,RF
GBY1-2,N,1038,Bear,Upper,A,6/29/2012,X,2012,1,1,GP,PL
GBY1-3,N,1049,Bear,Upper,L,6/29/2012,X,2012,1,1,GP,PL
GBY1-4,N,1056,Bear,Upper,A,6/29/2012,X,2012,1,1,GP,RF
GBY1-5,N,1058,Bear,Upper,A,6/29/2012,X,2012,1,1,GP,PL
GBY1-6,N,1080,Bear,Upper,A,6/29/2012,X,2012,1,1,GP,PL
GBY1-7,N,1083,Bear,Upper,A,6/29/2012,X,2012,1,1,GP,PL
GBY1-8,N,1085,Bear,Upper,A,6/29/2012,X,2012,1,1,GP,PL
GBY2,N,908,Bear,Upper,A,6/29/2012,X,2012,1,1,GP,PL
GBY2-3,N,1089,Bear,Upper,A,6/29/2012,X,2012,1,1,GP,PL
GBY2-4,N,1110,Bear,Upper,L,6/29/2012,X,2012,1,1,GP,PL
GBY2-5,N,1136,Bear,Upper,L,6/29/2012,X,2012,1,1,GP,RF
GBY2-6,N,1136,Bear,Upper,A,6/29/2012,X,2012,1,1,GP,PL
GBY2-7,N,1148,Bear,Upper,A,6/29/2012,X,2012,1,1,GP,PL
GBY3,N,910,Bear,Upper,A,6/29/2012,X,2012,1,1,GP,PL
GBY4,N,920,Bear,Upper,A,6/29/2012,X,2012,1,1,GP,RF
GBY5,N,922,Bear,Upper,A,6/29/2012,X,2012,1,1,GP,PL
GBY6,N,930,Bear,Upper,A,6/29/2012,X,2012,1,1,GP,PL
GBY7,N,1013,Bear,Upper,A,6/29/2012,X,2012,1,1,GP,PL
GBY8,N,1020,Bear,Upper,L,6/29/2012,X,2012,1,1,GP,RF
GBY2-8,N,1151,Bear,Upper,L,6/30/2012,X,2012,1,1,GP,PL
GBY3-4,N,1155,Bear,Upper,A,6/30/2012,X,2012,1,1,GP,PL
GBY3-5,N,1223,Bear,Upper,A,6/30/2012,X,2012,1,1,GP,RF
GBY3-6,N,1241,Bear,Upper,A,6/30/2012,X,2012,1,1,GP,RF
GBY3-7,N,1248,Bear,Upper,A,6/30/2012,X,2012,1,1,GP,PL
GBY3-8,N,1282,Bear,Upper,L,6/30/2012,X,2012,1,1,GP,PL
GBY4-5,N,1293,Bear,Upper,L,6/30/2012,X,2012,1,1,GP,PL
GCNY1,N,240,Canyon,Upper,L,6/30/2012,X,2012,1,1,GP,PL
GCNY1-2,N,464,Canyon,Upper,A,6/30/2012,X,2012,1,1,GP,RF
GCNY2,N,257,Canyon,Upper,L,6/30/2012,X,2012,1,1,GP,PL
GCNY3,N,259,Canyon,Upper,L,6/30/2012,X,2012,1,1,GP,PL
GCNY4,N,356,Canyon,Upper,A,6/30/2012,X,2012,1,1,GP,PL
GCNY5,N,371,Canyon,Upper,L,6/30/2012,X,2012,1,1,GP,PL
GCNY6,N,376,Canyon,Upper,L,6/30/2012,X,2012,1,1,GP,PL
GCNY7,N,382,Canyon,Upper,A,6/30/2012,X,2012,1,1,GP,PL
GCNY8,N,410,Canyon,Upper,L,6/30/2012,X,2012,1,1,GP,PL
GCDY3,N,187,Cascade,Upper,A,7/1/2012,X,2012,2,1,GP,PL
GCDY4,N,237,Cascade,Upper,M,7/1/2012,X,2012,2,1,GP,PL
GCDY5,N,374,Cascade,Upper,A,7/1/2012,X,2012,2,1,GP,PL
GZY1-2,N,1036,Zigzag,Upper,A,7/2/2012,X,2012,1,1,GP,PL
GZY1-3,N,1123,Zigzag,Upper,L,7/2/2012,X,2012,1,1,GP,PL
GZY1-4,N,1146,Zigzag,Upper,A,7/2/2012,X,2012,1,1,GP,PL
GZY1-5,N,1147,Zigzag,Upper,L,7/2/2012,X,2012,1,1,GP,PL
GZY1-6,N,1150,Zigzag,Upper,A,7/2/2012,X,2012,1,1,GP,PL
GZY1-7,N,1163,Zigzag,Upper,L,7/2/2012,X,2012,1,1,GP,PL
GZY1-8,N,1171,Zigzag,Upper,A,7/2/2012,X,2012,1,1,GP,PL
GZY2-3,N,1203,Zigzag,Upper,A,7/2/2012,X,2012,1,1,GP,RF
GZY2-4,N,1214,Zigzag,Upper,L,7/2/2012,X,2012,1,1,GP,PL
GZY2-5,N,1218,Zigzag,Upper,L,7/2/2012,X,2012,1,1,GP,PL
