ID,Position,ForkLength,GapeSize,MouthSide,Stream,Reach,Date,Recap (Y/N)
PSF-1,0,NA,NA,NA,Paradise,Lower,6/21/2022,N
PSF-2,200,123.2,9.9,9.4,Paradise,Lower,6/21/2022,N
PSF-3,200,101.3,8.9,7.8,Paradise,Lower,6/21/2022,N
PSF-4,200,84.1,7.3,4.3,Paradise,Lower,6/21/2022,N
PSF-5,275,79.5,7.6,6,Paradise,Lower,6/21/2022,N
PSF-6,300,123,10.5,9,Paradise,Lower,6/21/2022,N
PSF-7,325,120.7,12.6,8.1,Paradise,Lower,6/21/2022,N
PSF-8,325,95.6,8,5,Paradise,Lower,6/21/2022,N
PSF-9,450,134.2,12.2,10.2,Paradise,Lower,6/21/2022,N
PSF-10,450,134.6,11.4,10.4,Paradise,Lower,6/21/2022,N
BSF-1,475,141,12,9.1,Bear,Lower,6/22/2022,N
BSF-2,450,127.5,9.1,7.8,Bear,Lower,6/22/2022,N
BSF-3,375,NA,NA,NA,Bear,Lower,6/22/2022,N
BSF-4,375,141.8,12.3,8.7,Bear,Lower,6/22/2022,N
BSF-5,0,109.5,10.1,7.2,Bear,Lower,6/22/2022,N
ZSF-1,500,118.6,11.1,7.5,Zigzag,Lower,6/24/2022,N
ZSF-2,500,102.6,10.4,6,Zigzag,Lower,6/24/2022,N
ZSF-3,475,128,12.5,7.9,Zigzag,Lower,6/24/2022,N
ZSF-4,450,NA,NA,NA,Zigzag,Lower,6/24/2022,N
ZSF-5,175,77.5,7,5.2,Zigzag,Lower,6/24/2022,N
ZSF-6,175,111.4,8.7,N/A,Zigzag,Lower,6/24/2022,N
ZSF-7,125,105.2,10,7.8,Zigzag,Lower,6/24/2022,N
ZSF-8,125,138.5,13.5,11.5,Zigzag,Lower,6/24/2022,N
ZSF-9,125,84,6.7,4.9,Zigzag,Lower,6/24/2022,N
ZSF-10,100,153.4,12.4,9.9,Zigzag,Lower,6/24/2022,N
ZSF-11,75,97.1,8.3,6.4,Zigzag,Lower,6/24/2022,N
PSF-9,450,134.5,12.4,10.4,Paradise,Lower,6/28/2022,Y
PSF-11,450,140.8,13.5,11.1,Paradise,Lower,6/28/2022,N
PSF-12,425,147.9,14.3,12.2,Paradise,Lower,6/28/2022,N
PSF-13,325,133.1,11.9,7.5,Paradise,Lower,6/28/2022,N
PSF-14,325,113.2,10.3,5,Paradise,Lower,6/28/2022,N
PSF-15,150,155,14.4,13.5,Paradise,Lower,6/28/2022,N
PSF-16,125,131.5,11.9,9.7,Paradise,Lower,6/28/2022,N
BSF-6,475,97,8.6,5.8,Bear,Lower,6/29/2022,N
BSF-7,475,122.8,10.1,6.3,Bear,Lower,6/29/2022,N
BSF-8,375,140.4,11.7,11.7,Bear,Lower,6/29/2022,N
BSF-9,350,96.5,8.2,7.5,Bear,Lower,6/29/2022,N
BSF-4,350,139.6,12,9.1,Bear,Lower,6/29/2022,Y
BSF-10,200,131.3,10.5,8.6,Bear,Lower,6/29/2022,N
BSF-11,150,104.1,8.4,6.6,Bear,Lower,6/29/2022,N
BSF-12,50,96.8,8.6,5.4,Bear,Lower,6/29/2022,N
ZSF-12,475,93.9,8.6,5.5,Zigzag,Lower,7/1/2022,N
ZSF-13,475,77.7,6.8,3,Zigzag,Lower,7/1/2022,N
ZSF-14,475,116.9,10.4,10.2,Zigzag,Lower,7/1/2022,N
