IP,N_Bear,N_Para,N_Zig,Rel_A_Bear,Relative_Abundance_Para,Rel_A_Zig,True_Estimate_Bear,LE_Bear,UE_Bear,True_Estimate_Para,LE_Para,UE_Para,True_Estimate_Zig,LE_Zig,UE_Zig
0,12,37,4,0.007,0.021,0.003,6.85,6,7.78,20.25,17.79,22.99,2.15,1.86,2.46
25,40,39,3,0.023,0.022,0.002,22.49,19.71,25.58,21.35,18.75,24.23,1.43,1.24,1.64
50,39,57,5,0.023,0.032,0.004,22.49,19.71,25.58,31.2,27.41,35.42,2.86,2.48,3.28
75,29,50,1,0.017,0.028,0.001,16.63,14.57,18.90,27.37,24.04,31.07,0.72,0.62,0.82
100,61,57,6,0.035,0.032,0.005,34.23,30,38.92,31.2,27.41,35.42,3.58,3.1,4.11
125,48,37,9,0.028,0.021,0.007,27.38,24,31.14,20.25,17.79,22.99,5.01,4.33,5.75
150,38,33,9,0.022,0.019,0.007,21.52,18.85,24.46,18.06,15.87,20.5,5.01,4.33,5.75
175,35,35,26,0.02,0.02,0.02,19.56,17.14,22.24,19.16,16.83,21.75,14.3,12.38,16.42
200,35,36,20,0.02,0.02,0.015,19.56,17.14,22.24,19.71,17.31,22.37,10.73,9.29,12.32
225,37,54,28,0.021,0.03,0.021,20.54,18,23.35,29.56,25.96,33.55,15.02,13,17.24
250,40,34,28,0.023,0.019,0.021,22.49,19.71,25.58,18.61,16.35,21.13,15.02,13,17.24
275,37,36,26,0.021,0.02,0.02,20.54,18,23.35,19.71,17.31,22.37,14.3,12.38,16.42
300,44,21,51,0.025,0.012,0.039,24.45,21.43,27.80,11.5,10.1,13.05,27.89,24.14,32.02
325,39,29,24,0.023,0.016,0.018,22.49,19.71,25.58,15.87,13.94,18.02,12.87,11.14,14.78
350,55,21,18,0.032,0.012,0.014,31.30,27.42,35.58,11.5,10.1,13.05,10.01,8.67,11.49
375,45,57,9,0.026,0.032,0.007,25.43,22.28,28.91,31.2,27.41,35.42,5.01,4.33,5.75
400,23,32,10,0.013,0.018,0.008,12.71,11.14,14.46,17.52,15.39,19.88,5.72,4.95,6.57
425,23,24,13,0.013,0.014,0.01,12.71,11.14,14.46,13.14,11.54,14.91,7.15,6.19,8.21
450,32,23,15,0.019,0.013,0.011,18.58,16.28,21.13,12.59,11.06,14.29,7.87,6.81,9.03
475,30,26,11,0.017,0.015,0.008,16.63,14.57,18.90,14.23,12.5,16.15,5.72,4.95,6.57
500,0,0,0,0,0,0,0.00,0,0.00,0,0,0,0,0,0
525,0,0,0,0,0,0,0.00,0,0.00,0,0,0,0,0,0
