IP,N_Bear,N_Para,N_Zig,Rel_A_Bear,Relative_Abundance_Para,Rel_A_Zig,True_Estimate_Bear,True_Estimate_Para,True_Estimate_Zig
0,12,37,4,0.007,0.021,0.003,5.805555556,15.63939052,2.166414523
25,40,39,3,0.023,0.022,0.002,19.35185185,16.48476298,1.624810893
50,39,57,5,0.023,0.032,0.004,18.86805556,24.09311512,2.708018154
75,29,50,1,0.017,0.028,0.001,14.03009259,21.13431151,0.541603631
100,61,57,6,0.035,0.032,0.005,29.51157407,24.09311512,3.249621785
125,48,37,9,0.028,0.021,0.007,23.22222222,15.63939052,4.874432678
150,38,33,9,0.022,0.019,0.007,18.38425926,13.9486456,4.874432678
175,35,35,26,0.020,0.020,0.020,16.93287037,14.79401806,14.0816944
200,35,36,20,0.020,0.020,0.015,16.93287037,15.21670429,10.83207262
225,37,54,28,0.021,0.030,0.021,17.90046296,22.82505643,15.16490166
250,40,34,28,0.023,0.019,0.021,19.35185185,14.37133183,15.16490166
275,37,36,26,0.021,0.020,0.020,17.90046296,15.21670429,14.0816944
300,44,21,51,0.025,0.012,0.039,21.28703704,8.876410835,27.62178517
325,39,29,24,0.023,0.016,0.018,18.86805556,12.25790068,12.99848714
350,55,21,18,0.032,0.012,0.014,26.6087963,8.876410835,9.748865356
375,45,57,9,0.026,0.032,0.007,21.77083333,24.09311512,4.874432678
400,23,32,10,0.013,0.018,0.008,11.12731481,13.52595937,5.416036309
425,23,24,13,0.013,0.014,0.010,11.12731481,10.14446953,7.040847201
450,32,23,15,0.019,0.013,0.011,15.48148148,9.721783296,8.124054463
475,30,26,11,0.017,0.015,0.008,14.51388889,10.98984199,5.957639939
500,0,0,0,0.000,0.000,0.000,0,0,0
525,0,0,0,0.000,0.000,0.000,0,0,0
550,0,0,0,0.000,0.000,0.000,0,0,0
575,0,0,0,0.000,0.000,0.000,0,0,0
600,0,0,0,0.000,0.000,0.000,0,0,0
625,0,0,0,0.000,0.000,0.000,0,0,0
650,0,0,0,0.000,0.000,0.000,0,0,0
675,0,0,0,0.000,0.000,0.000,0,0,0
700,0,0,0,0.000,0.000,0.000,0,0,0
725,0,0,0,0.000,0.000,0.000,0,0,0
750,0,69,0,0.000,0.039,0.000,0,29.16534989,0
775,0,42,0,0.000,0.024,0.000,0,17.75282167,0
800,0,35,0,0.000,0.020,0.000,0,14.79401806,0
825,0,30,0,0.000,0.017,0.000,0,12.68058691,0
850,0,29,0,0.000,0.016,0.000,0,12.25790068,0
875,0,39,0,0.000,0.022,0.000,0,16.48476298,0
900,51,79,0,0.030,0.045,0.000,24.67361111,33.39221219,0
925,27,86,0,0.016,0.049,0.000,13.0625,36.3510158,0
950,32,54,0,0.019,0.030,0.000,15.48148148,22.82505643,0
975,46,71,0,0.027,0.040,0.000,22.25462963,30.01072235,0
1000,64,31,42,0.037,0.017,0.032,30.96296296,13.10327314,22.7473525
1025,101,33,85,0.058,0.019,0.064,48.86342593,13.9486456,46.03630862
1050,68,47,49,0.039,0.027,0.037,32.89814815,19.86625282,26.53857791
1075,64,37,37,0.037,0.021,0.028,30.96296296,15.63939052,20.03933434
1100,63,59,15,0.036,0.033,0.011,30.47916667,24.93848758,8.124054463
1125,74,47,65,0.043,0.027,0.049,35.80092593,19.86625282,35.20423601
1150,80,64,69,0.046,0.036,0.052,38.7037037,27.05191874,37.37065053
1175,49,64,23,0.028,0.036,0.017,23.70601852,27.05191874,12.45688351
1200,45,68,64,0.026,0.038,0.048,21.77083333,28.74266366,34.66263238
1225,31,50,38,0.018,0.028,0.029,14.99768519,21.13431151,20.58093797
1250,35,0,71,0.020,0.000,0.054,16.93287037,0,38.45385779
1275,64,0,61,0.037,0.000,0.046,30.96296296,0,33.03782148
1300,37,0,63,0.021,0.000,0.048,17.90046296,0,34.12102874
1325,18,0,55,0.010,0.000,0.042,8.708333333,0,29.7881997
1350,16,0,39,0.009,0.000,0.030,7.740740741,0,21.1225416
1375,21,0,30,0.012,0.000,0.023,10.15972222,0,16.24810893
1400,0,0,47,0.000,0.000,0.036,0,0,25.45537065
1425,0,0,36,0.000,0.000,0.027,0,0,19.49773071
1450,0,0,49,0.000,0.000,0.037,0,0,26.53857791
1475,0,0,68,0.000,0.000,0.051,0,0,36.8290469
