Date,Stream,Reach,Position,Corr_Pos,Bankfull_Width,Wetted_Width,Year,Cascade,Fork
6/22/2023,Bear,Lower,500,500,1.92,1.92,2023,0,0
6/22/2023,Bear,Lower,490,490,3.03,2.66,2023,0,0
6/22/2023,Bear,Lower,480,480,2.42,2.42,2023,0,0
6/22/2023,Bear,Lower,470,470,1.81,1.81,2023,0,0
6/22/2023,Bear,Lower,460,460,3.48,3.48,2023,0,0
6/22/2023,Bear,Lower,450,450,3.02,2.97,2023,0,0
6/22/2023,Bear,Lower,440,440,2.04,2.04,2023,0,1
6/22/2023,Bear,Lower,430,430,2.44,2.44,2023,0,0
6/22/2023,Bear,Lower,420,420,2.95,2.69,2023,0,0
6/22/2023,Bear,Lower,410,410,3.43,3.43,2023,0,0
6/22/2023,Bear,Lower,400,400,3.41,2.11,2023,0,0
6/22/2023,Bear,Lower,390,390,1.4,1.4,2023,0,1
6/22/2023,Bear,Lower,380,380,3.7,3.7,2023,0,0
6/22/2023,Bear,Lower,370,370,2.23,2.23,2023,0,0
6/22/2023,Bear,Lower,360,360,3.67,3.67,2023,0,0
6/22/2023,Bear,Lower,350,350,4.06,4.06,2023,0,0
6/22/2023,Bear,Lower,340,340,2.65,2.65,2023,0,0
6/22/2023,Bear,Lower,330,330,2.35,2.11,2023,0,0
6/22/2023,Bear,Lower,320,320,2.62,2.62,2023,0,0
6/22/2023,Bear,Lower,310,310,4.73,3.98,2023,0,0
6/22/2023,Bear,Lower,300,300,3.76,3.54,2023,0,0
6/22/2023,Bear,Lower,290,290,4.38,4.38,2023,0,0
6/22/2023,Bear,Lower,280,280,3.38,3.09,2023,0,0
6/22/2023,Bear,Lower,270,270,2.65,1.84,2023,0,0
6/22/2023,Bear,Lower,260,260,2.7,2.7,2023,0,1
6/22/2023,Bear,Lower,250,250,2.56,2.56,2023,0,1
6/22/2023,Bear,Lower,240,240,2.36,2.36,2023,0,1
6/22/2023,Bear,Lower,230,230,3.65,3.65,2023,0,0
6/22/2023,Bear,Lower,220,220,4.27,3.58,2023,0,0
6/22/2023,Bear,Lower,210,210,3.1,2.99,2023,0,0
6/22/2023,Bear,Lower,200,200,2.69,2.69,2023,0,0
6/22/2023,Bear,Lower,190,190,3.73,3.73,2023,0,0
6/22/2023,Bear,Lower,180,180,3.93,3.09,2023,0,0
6/22/2023,Bear,Lower,170,170,2.58,2.58,2023,0,0
6/22/2023,Bear,Lower,160,160,3.07,2.75,2023,0,0
6/22/2023,Bear,Lower,150,150,2.98,2.98,2023,0,0
6/22/2023,Bear,Lower,140,140,3.51,3.25,2023,0,0
6/22/2023,Bear,Lower,130,130,3.01,3.01,2023,0,1
6/22/2023,Bear,Lower,120,120,4.13,4.13,2023,0,0
6/22/2023,Bear,Lower,110,110,3.71,2.37,2023,0,0
6/22/2023,Bear,Lower,100,100,2.95,2.62,2023,0,0
6/22/2023,Bear,Lower,90,90,3.87,3.87,2023,0,0
6/22/2023,Bear,Lower,80,80,3.03,3.03,2023,0,0
6/22/2023,Bear,Lower,70,70,3.5,3.33,2023,0,0
6/22/2023,Bear,Lower,60,60,3.25,1.57,2023,0,0
6/22/2023,Bear,Lower,50,50,2.74,2.74,2023,0,0
6/22/2023,Bear,Lower,40,40,2.7,2.7,2023,0,0
6/22/2023,Bear,Lower,30,30,2.48,2.48,2023,0,0
6/22/2023,Bear,Lower,20,20,1.18,1.18,2023,0,0
6/22/2023,Bear,Lower,10,10,2.91,2.91,2023,0,0
6/22/2023,Bear,Lower,0,0,3.92,3.92,2023,0,0
7/5/2023,Bear,Lower,500,500,1.92,1.92,2023,0,0
7/5/2023,Bear,Lower,490,490,3.03,2.78,2023,0,0
7/5/2023,Bear,Lower,480,480,2.42,2.42,2023,0,0
7/5/2023,Bear,Lower,470,470,1.81,1.81,2023,0,0
7/5/2023,Bear,Lower,460,460,3.48,3.48,2023,0,0
7/5/2023,Bear,Lower,450,450,3.02,3.02,2023,0,0
7/5/2023,Bear,Lower,440,440,2.04,2.04,2023,0,1
7/5/2023,Bear,Lower,430,430,2.44,2.44,2023,0,0
7/5/2023,Bear,Lower,420,420,2.95,2.95,2023,0,0
7/5/2023,Bear,Lower,410,410,3.43,3.43,2023,0,0
7/5/2023,Bear,Lower,400,400,3.41,2.11,2023,0,0
7/5/2023,Bear,Lower,390,390,1.4,1.4,2023,0,1
7/5/2023,Bear,Lower,380,380,3.7,3.7,2023,0,0
7/5/2023,Bear,Lower,370,370,2.23,2.23,2023,0,0
7/5/2023,Bear,Lower,360,360,3.67,3.67,2023,0,0
7/5/2023,Bear,Lower,350,350,4.06,4.06,2023,0,0
7/5/2023,Bear,Lower,340,340,2.65,2.65,2023,0,0
7/5/2023,Bear,Lower,330,330,2.35,2.23,2023,0,0
7/5/2023,Bear,Lower,320,320,2.62,2.62,2023,0,0
7/5/2023,Bear,Lower,310,310,4.73,4.73,2023,0,0
7/5/2023,Bear,Lower,300,300,3.76,3.76,2023,0,0
7/5/2023,Bear,Lower,290,290,4.38,4.38,2023,0,0
7/5/2023,Bear,Lower,280,280,3.38,3.38,2023,0,0
7/5/2023,Bear,Lower,270,270,2.65,2.55,2023,0,0
7/5/2023,Bear,Lower,260,260,2.7,2.7,2023,0,1
7/5/2023,Bear,Lower,250,250,2.56,2.56,2023,0,1
7/5/2023,Bear,Lower,240,240,2.36,2.36,2023,0,1
7/5/2023,Bear,Lower,230,230,3.65,3.65,2023,0,0
7/5/2023,Bear,Lower,220,220,4.27,3.48,2023,0,0
7/5/2023,Bear,Lower,210,210,3.1,3.1,2023,0,0
7/5/2023,Bear,Lower,200,200,2.69,2.42,2023,0,0
7/5/2023,Bear,Lower,190,190,3.73,3.73,2023,0,0
7/5/2023,Bear,Lower,180,180,3.93,3.93,2023,0,0
7/5/2023,Bear,Lower,170,170,2.58,2.58,2023,0,0
7/5/2023,Bear,Lower,160,160,3.07,2.75,2023,0,0
7/5/2023,Bear,Lower,150,150,2.98,2.98,2023,0,0
7/5/2023,Bear,Lower,140,140,3.51,3.34,2023,0,0
7/5/2023,Bear,Lower,130,130,3.01,3.01,2023,0,1
7/5/2023,Bear,Lower,120,120,4.13,3.97,2023,0,0
7/5/2023,Bear,Lower,110,110,3.71,2.61,2023,0,0
7/5/2023,Bear,Lower,100,100,2.95,2.67,2023,0,0
7/5/2023,Bear,Lower,90,90,3.87,3.87,2023,0,0
7/5/2023,Bear,Lower,80,80,3.03,3.03,2023,0,0
